detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
spectral-flux,broken_sustain,0,18.901333333333334,10,10,4,162.7,0.5414277624407164,0.291905570892617,0.291905570892617,0.28043645113780147,0.291905570892617,0.337421250088483,0.9917887732710412,0.337421250088483
spectral-flux,broken_sustain,1,20.704,10,10,4,171.9,0.5714977482930608,0.4682581957290204,0.4682581957290204,0.3886941089901744,0.4682581957290204,0.6114312462673318,0.9934143625006054,0.6114312462673318
spectral-flux,broken_sustain,2,20.704,10,10,3,174.7,0.36820617092693003,0.366786083139685,0.26207074619158277,0.11672662566245019,0.26207074619158277,0.4516686031500129,0.9951910663568293,0.4516686031500129
spectral-flux,broken_sustain,3,20.405333333333335,10,10,4,172.3,0.8535669176385677,0.8519101750241951,0.8519101750241951,0.7550952221850986,0.8519101750241951,0.7136787887735183,0.9866148319472469,0.7136787887735183
spectral-flux,broken_sustain,4,18.122666666666667,10,10,6,161.2,0.6078018895777973,0.6062518452908178,0.16378801299084736,0.09835950151376466,0.16378801299084736,0.38175376439326847,0.9875442869796278,0.38175376439326847
spectral-flux,broken_sustain,5,24.842666666666666,10,10,2,181.5,0.67266661285549,0.67266661285549,0.67266661285549,0.8546605271635117,0.67266661285549,0.7244464175209191,0.989910404390992,0.7244464175209191
spectral-flux,broken_sustain,6,20.042666666666666,10,10,6,165.9,0.23044051613333988,0.23044051613333988,0.23044051613333988,0.1771137750740542,0.23044051613333988,0.3937102508888778,0.9901180162585339,0.3937102508888778
spectral-flux,broken_sustain,7,21.546666666666667,10,10,4,170.3,0.4070757943169806,0.3327426475160107,0.3326027482434869,0.2296503797877498,0.3326027482434869,0.5468973450226945,0.9967045949138842,0.5468973450226945
spectral-flux,broken_sustain,8,20.88533333333333,10,10,4,169.0,0.7633586562810526,0.7633586562810526,0.7633586562810526,0.7420172058901146,0.7633586562810526,0.6555277751065807,0.9871782543193255,0.6555277751065807
spectral-flux,broken_sustain,9,19.562666666666665,9,9,6,169.77777777777777,0.45767751858497807,0.45767751858497807,0.45767751858497807,0.5262533251483524,0.45767751858497807,0.6773647782619842,0.862565154233957,0.6773647782619842
spectral-flux,broken_sustain,10,18.784,10,10,7,161.4,0.5461656332406813,0.5461656332406813,0.5461656332406813,0.3983566068205567,0.5461656332406813,0.6797983037559692,0.978155512793101,0.6797983037559692
spectral-flux,broken_sustain,11,20.82133333333333,10,10,3,163.5,0.6313092369477913,0.6313092369477913,0.6313092369477913,0.3193993051664239,0.6313092369477913,0.6831646586345382,0.9852690763052209,0.6831646586345382
spectral-flux,broken_sustain,12,21.184,10,10,6,171.2,0.6719629418832607,0.6719629418832607,0.6719629418832607,0.7088494396559926,0.6719629418832607,0.6743818377284512,0.9928381711250238,0.6743818377284512
spectral-flux,broken_sustain,13,20.405333333333335,10,10,4,168.7,0.8913798754506718,0.8908718452966239,0.8908718452966239,0.8908718452966239,0.8908718452966239,0.7497705670272041,0.9921665027859717,0.7497705670272041
spectral-flux,broken_sustain,14,21.781333333333333,10,10,4,181.9,0.58610434009413,0.58610434009413,0.58610434009413,0.5561110750384175,0.58610434009413,0.7171656778426774,0.9910775881893022,0.7171656778426774
spectral-flux,broken_sustain,15,19.744,10,10,5,165.8,0.45671864154265496,0.3408671508625798,0.3404269727597474,0.30311444305613394,0.3404269727597474,0.656373271031202,0.9866930773528366,0.656373271031202
spectral-flux,broken_sustain,16,18.730666666666668,10,10,8,161.6,0.9843191884554939,0.9843191884554939,0.9842834690670098,0.9824194377156279,0.9842834690670098,0.6880982997571082,0.9842834690670098,0.6880982997571082
spectral-flux,broken_sustain,17,20.88533333333333,10,10,6,168.0,0.49186621239022976,0.4125277924404562,0.4125277924404562,0.48050230097069296,0.4125277924404562,0.6025081177919607,0.9894748628373082,0.6025081177919607
spectral-flux,broken_sustain,18,19.989333333333335,10,10,6,172.8,0.2832730802704694,0.2832730802704694,0.2832730802704694,0.1645958106135099,0.2832730802704694,0.4116121041708508,0.9925353149896231,0.4116121041708508
spectral-flux,broken_sustain,19,20.650666666666666,10,10,4,167.3,0.37717338513841664,0.2581512060870972,0.2581512060870972,0.3857710098653239,0.2581512060870972,0.24940909826776736,0.9928120446818842,0.24940909826776736
spectral-flux,normal_no-sustain,0,18.549333333333333,10,10,7,162.7,0.5844151161113514,0.5844151161113514,0.4458928313861241,0.19911689397502202,0.4458928313861241,0.48296192124621373,0.9978544641569307,0.48296192124621373
spectral-flux,normal_no-sustain,1,20.469333333333335,10,10,5,172.9,0.09211193431791061,0.09211193431791061,0.09211193431791061,0.09952464259838498,0.09211193431791061,0.3394010761657099,0.9960093551183293,0.3394010761657099
