variant,seed,class,n_train_class,n_support,sv_fraction
orig,45,B_major_4,160,98,0.6125
orig,45,B_minor_4,160,94,0.5875
orig,45,C#_diminished_4,160,82,0.5125
orig,45,C#_major_4,160,109,0.68125
orig,45,C#_minor_4,160,101,0.63125
orig,45,C_diminished_4,160,119,0.74375
orig,45,C_major_4,160,102,0.6375
orig,45,C_minor_4,160,92,0.575
orig,45,D#_diminished_4,160,124,0.775
orig,45,D#_major_4,160,115,0.71875
orig,45,D#_minor_4,160,113,0.70625
orig,45,D_diminished_4,160,112,0.7
orig,45,D_major_4,160,100,0.625
orig,45,D_minor_4,160,106,0.6625
orig,45,E_diminished_4,160,111,0.69375
orig,45,E_major_4,160,129,0.80625
orig,45,E_minor_4,160,125,0.78125
orig,45,F#_diminished_4,160,116,0.725
orig,45,F#_major_4,160,113,0.70625
orig,45,F#_minor_4,160,118,0.7375
orig,45,F_diminished_4,160,114,0.7125
orig,45,F_major_4,160,114,0.7125
orig,45,F_minor_4,160,123,0.76875
orig,45,G#_diminished_4,160,108,0.675
orig,45,G#_major_4,160,108,0.675
orig,45,G#_minor_4,160,115,0.71875
orig,45,G_diminished_4,160,105,0.65625
orig,45,G_major_4,160,105,0.65625
orig,45,G_minor_4,160,108,0.675
orig,46,A#_diminished_4,160,90,0.5625
orig,46,A#_major_4,160,105,0.65625
orig,46,A#_minor_4,160,99,0.61875
orig,46,A_diminished_4,160,98,0.6125
orig,46,A_major_4,160,109,0.68125
orig,46,A_minor_4,160,119,0.74375
orig,46,B_diminished_4,160,107,0.66875
orig,46,B_major_4,160,96,0.6
orig,46,B_minor_4,160,100,0.625
orig,46,C#_diminished_4,160,83,0.51875
orig,46,C#_major_4,160,105,0.65625
