variant,seed,dataset,overlay,factor,accuracy,macro_precision,macro_recall,macro_f1
clean,43,vivo,rir,environment,0.7388888888888889,0.8025416917957408,0.7388888888888889,0.7208906702167781
clean,43,vivo,dir,recording-setting,0.8180555555555555,0.8550694538662251,0.8180555555555558,0.7950235805575359
clean,43,flow,noise,environment,0.7833333333333333,0.8015988515643699,0.7833333333333334,0.7687665972077804
clean,43,flow,rir,environment,0.8715277777777778,0.87783102818848,0.8715277777777779,0.8599522531152601
clean,43,flow,dir,recording-setting,0.8958333333333334,0.904770885734155,0.8958333333333334,0.8758557256027625
clean,43,thinkpad-2,noise,environment,0.7347222222222223,0.7790981692242739,0.7347222222222222,0.7298178316505685
clean,43,thinkpad-2,rir,environment,0.7715277777777778,0.8205994829242084,0.7715277777777779,0.7601167780335054
clean,43,thinkpad-2,dir,recording-setting,0.8479166666666667,0.8708903117271009,0.8479166666666667,0.8314520082065388
clean,43,flow-2,noise,environment,0.7368055555555556,0.7861252109903133,0.7368055555555556,0.7329369041896526
clean,43,flow-2,rir,environment,0.7777777777777778,0.8203041549169034,0.7777777777777778,0.7621065264943253
clean,43,flow-2,dir,recording-setting,0.8604166666666667,0.8846952435988094,0.8604166666666666,0.8471743925265763
clean,44,thinkpad,noise,environment,0.9409722222222222,0.9454110266306373,0.9409722222222222,0.9412946018955294
clean,44,thinkpad,rir,environment,0.9340277777777778,0.9438250772851616,0.9340277777777776,0.9332279857652088
clean,44,thinkpad,dir,recording-setting,0.9909722222222224,0.991446008037046,0.990972222222222,0.9909826747570848
clean,44,vivo,noise,environment,0.8972222222222223,0.9096685474962646,0.8972222222222221,0.895056827970241
clean,44,vivo,rir,environment,0.9125,0.9282106831901638,0.9125,0.908597757576458
clean,44,vivo,dir,recording-setting,0.9819444444444444,0.9837652273184878,0.9819444444444444,0.9818598587135692
clean,44,flow,noise,environment,0.9305555555555556,0.9387930675949384,0.9305555555555556,0.9315596403691044
clean,44,flow,rir,environment,0.9430555555555556,0.953642299864116,0.9430555555555556,0.9413496759660112
clean,44,flow,dir,recording-setting,0.9729166666666668,0.9781159829582072,0.9729166666666668,0.9718411446013144
clean,44,thinkpad-2,noise,environment,0.8277777777777777,0.8650272797348462,0.8277777777777778,0.8238029140707099
clean,44,thinkpad-2,rir,environment,0.88125,0.9010426076149084,0.8812500000000001,0.8801577658923272
clean,44,thinkpad-2,dir,recording-setting,0.9430555555555556,0.9504403634995118,0.9430555555555556,0.9405143465450848
clean,44,flow-2,noise,environment,0.8548611111111111,0.8889229576044642,0.8548611111111112,0.853494764943598
clean,44,flow-2,rir,environment,0.8743055555555556,0.901801723242092,0.8743055555555556,0.8721791428819501
clean,44,flow-2,dir,recording-setting,0.95,0.9568516762571736,0.95,0.949116734525785
clean,45,thinkpad,noise,environment,0.925,0.9369836332883934,0.925,0.926080541197135
clean,45,thinkpad,rir,environment,0.9215277777777776,0.9335249252227236,0.9215277777777776,0.9182081555466848
clean,45,thinkpad,dir,recording-setting,0.9868055555555556,0.9885639202712374,0.9868055555555556,0.9866961860912596
clean,45,vivo,noise,environment,0.8326388888888889,0.8710111731532938,0.8326388888888889,0.827651554185933
clean,45,vivo,rir,environment,0.8368055555555556,0.9072168016081724,0.8368055555555556,0.8278926377027445
clean,45,vivo,dir,recording-setting,0.9076388888888888,0.9192853800366936,0.907638888888889,0.8950441954741678
clean,45,flow,noise,environment,0.90625,0.9215354829580866,0.90625,0.907453620875898
clean,45,flow,rir,environment,0.9201388888888888,0.93599036746537,0.9201388888888888,0.9161483488132428
clean,45,flow,dir,recording-setting,0.9569444444444444,0.9652893187506998,0.9569444444444444,0.9549889759453164
clean,45,thinkpad-2,noise,environment,0.7347222222222223,0.8184614038234598,0.7347222222222223,0.7249777332540099
clean,45,thinkpad-2,rir,environment,0.7722222222222223,0.8294453364435916,0.7722222222222223,0.7683460363520728
clean,45,thinkpad-2,dir,recording-setting,0.8458333333333333,0.8691873365531162,0.8458333333333335,0.8359165642554136
clean,45,flow-2,noise,environment,0.7527777777777778,0.824734012948365,0.7527777777777778,0.7384945964126645
clean,45,flow-2,rir,environment,0.7763888888888889,0.825581486333403,0.7763888888888889,0.7669097467840568
clean,45,flow-2,dir,recording-setting,0.8673611111111111,0.9164475940331968,0.8673611111111112,0.8621087458147717
clean,46,thinkpad,noise,environment,0.9604166666666668,0.9631223699450884,0.9604166666666668,0.960541329774964
clean,46,thinkpad,rir,environment,0.9583333333333334,0.9620779214506664,0.9583333333333334,0.9580734192725192
clean,46,thinkpad,dir,recording-setting,0.9916666666666668,0.992012041313658,0.9916666666666668,0.9916424576112104
clean,46,vivo,noise,environment,0.9201388888888888,0.92758661140654,0.9201388888888888,0.9203895766990944
clean,46,vivo,rir,environment,0.9027777777777778,0.9205221680209428,0.9027777777777778,0.9023992849652333
clean,46,vivo,dir,recording-setting,0.9826388888888888,0.9837112541737604,0.9826388888888892,0.9824248314344762
clean,46,flow,noise,environment,0.9395833333333332,0.9434851159611792,0.9395833333333332,0.9391144737876148
clean,46,flow,rir,environment,0.9625,0.9663727763072713,0.9625,0.960824298096632
clean,46,flow,dir,recording-setting,0.975,0.9794938477335084,0.975,0.9725883767204369
clean,46,thinkpad-2,noise,environment,0.8298611111111112,0.8579980048250344,0.8298611111111112,0.8193014758669492
clean,46,thinkpad-2,rir,environment,0.83125,0.8752655957009247,0.8312499999999999,0.8210026953999233
clean,46,thinkpad-2,dir,recording-setting,0.8652777777777778,0.9020314763085292,0.8652777777777777,0.8527893569604027
clean,46,flow-2,noise,environment,0.8402777777777778,0.86555455666151,0.8402777777777779,0.8282284970625938
clean,46,flow-2,rir,environment,0.8111111111111111,0.8605569989138543,0.8111111111111113,0.7976775617835945
clean,46,flow-2,dir,recording-setting,0.8826388888888889,0.9222145009548176,0.8826388888888888,0.8718422962283917
clean,42,thinkpad,noise,environment,0.8229166666666666,0.8522290505306844,0.8229166666666665,0.8191591913669661
clean,42,thinkpad,rir,environment,0.8368055555555556,0.875129810033273,0.8368055555555556,0.830832217510441
clean,42,thinkpad,dir,recording-setting,0.9375,0.9522845761795552,0.9375,0.9329125169947239
clean,42,vivo,noise,environment,0.5763888888888888,0.711313608706542,0.5763888888888888,0.5476539681219951
clean,42,vivo,rir,environment,0.6229166666666667,0.6602736626332892,0.6229166666666667,0.5800084502892048
clean,42,vivo,dir,recording-setting,0.7048611111111112,0.7711760596187348,0.7048611111111112,0.6527133884224944
clean,42,flow,noise,environment,0.6777777777777778,0.7571675081806123,0.6777777777777777,0.6777053668425485
clean,42,flow,rir,environment,0.7986111111111112,0.8722392156275189,0.7986111111111112,0.788556117720159
clean,42,flow,dir,recording-setting,0.7965277777777777,0.8663396184361996,0.7965277777777778,0.7841118517432188
clean,42,thinkpad-2,noise,environment,0.6402777777777777,0.6765781441849417,0.6402777777777778,0.6077846831687962
clean,42,thinkpad-2,rir,environment,0.65625,0.6840459527798113,0.65625,0.6329170407426391
clean,42,thinkpad-2,dir,recording-setting,0.7381944444444445,0.7462020220957926,0.7381944444444444,0.6979214493584334
clean,42,flow-2,noise,environment,0.6236111111111111,0.641602140851863,0.6236111111111111,0.58725976365323
clean,42,flow-2,rir,environment,0.6618055555555555,0.6761783599504124,0.6618055555555556,0.6395460311830456
clean,42,flow-2,dir,recording-setting,0.7229166666666667,0.7214175546833947,0.7229166666666667,0.6774761448734411
