variant,seed,dataset,overlay,class,recall
clean,42,vivo,dir,F_major_4,1.0
clean,42,vivo,dir,F_minor_4,1.0
clean,42,vivo,dir,G#_diminished_4,1.0
clean,42,vivo,dir,G#_major_4,1.0
clean,42,vivo,dir,G#_minor_4,1.0
clean,42,vivo,dir,G_diminished_4,1.0
clean,42,vivo,dir,G_major_4,1.0
clean,42,vivo,dir,G_minor_4,1.0
clean,42,flow,noise,A#_diminished_4,0.975
clean,42,flow,noise,A#_major_4,0.975
clean,42,flow,noise,A#_minor_4,1.0
clean,42,flow,noise,A_diminished_4,1.0
clean,42,flow,noise,A_major_4,1.0
clean,42,flow,noise,A_minor_4,1.0
clean,42,flow,noise,B_diminished_4,1.0
clean,42,flow,noise,B_major_4,1.0
clean,42,flow,noise,B_minor_4,1.0
clean,42,flow,noise,C#_diminished_4,1.0
clean,42,flow,noise,C#_major_4,1.0
clean,42,flow,noise,C#_minor_4,1.0
clean,42,flow,noise,C_diminished_4,1.0
clean,42,flow,noise,C_major_4,1.0
clean,42,flow,noise,C_minor_4,1.0
clean,42,flow,noise,D#_diminished_4,1.0
clean,42,flow,noise,D#_major_4,1.0
clean,42,flow,noise,D#_minor_4,1.0
clean,42,flow,noise,D_diminished_4,1.0
clean,42,flow,noise,D_major_4,1.0
clean,42,flow,noise,D_minor_4,1.0
clean,42,flow,noise,E_diminished_4,1.0
clean,42,flow,noise,E_major_4,0.975
clean,42,flow,noise,E_minor_4,1.0
clean,42,flow,noise,F#_diminished_4,0.975
clean,42,flow,noise,F#_major_4,1.0
clean,42,flow,noise,F#_minor_4,1.0
clean,42,flow,noise,F_diminished_4,1.0
clean,42,flow,noise,F_major_4,1.0
clean,42,flow,noise,F_minor_4,1.0
clean,42,flow,noise,G#_diminished_4,1.0
clean,42,flow,noise,G#_major_4,1.0
clean,42,flow,noise,G#_minor_4,0.95
clean,42,flow,noise,G_diminished_4,1.0
clean,42,flow,noise,G_major_4,1.0
clean,42,flow,noise,G_minor_4,1.0
clean,42,flow,rir,A#_diminished_4,1.0
clean,42,flow,rir,A#_major_4,1.0
clean,42,flow,rir,A#_minor_4,1.0
clean,42,flow,rir,A_diminished_4,1.0
clean,42,flow,rir,A_major_4,1.0
clean,42,flow,rir,A_minor_4,1.0
clean,42,flow,rir,B_diminished_4,1.0
clean,42,flow,rir,B_major_4,1.0
clean,42,flow,rir,B_minor_4,1.0
clean,42,flow,rir,C#_diminished_4,1.0
clean,42,flow,rir,C#_major_4,1.0
clean,42,flow,rir,C#_minor_4,1.0
