detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
spectral-flux,normal_no-sustain,16,20.170666666666666,10,10,5,173.7,0.9937163375224418,0.993317374825454,0.993317374825454,0.9929654000434721,0.993317374825454,0.7316643393842677,0.9955116696588869,0.7316643393842677
spectral-flux,normal_no-sustain,17,18.784,10,10,6,163.9,0.9927652446630314,0.9915535122420612,0.9915535122420612,0.9918125951183802,0.9915535122420612,0.7705192629815745,0.9977012723190418,0.7705192629815745
spectral-flux,normal_no-sustain,18,17.824,10,10,6,157.8,0.9945179761569514,0.9922087674833383,0.9922087674833383,0.9928137565232271,0.9922087674833383,0.7255608748709284,0.9937670139866704,0.7255608748709284
spectral-flux,normal_no-sustain,19,18.005333333333333,10,10,6,151.3,0.9887289365026226,0.9887289365026226,0.9887289365026226,0.9888216115510015,0.9887289365026226,0.7417698917531526,0.989565896663319,0.7417698917531526
spectral-flux,normal_no-sustain,20,19.21066666666667,10,10,6,164.3,0.9927638576485154,0.9927638576485154,0.9927638576485154,0.9926079243051452,0.9927638576485154,0.6780178200903211,0.9964603930184305,0.6780178200903211
spectral-flux,normal_no-sustain,21,22.986666666666668,11,11,3,174.27272727272728,0.9634928250534304,0.9634928250534304,0.9634928250534304,0.9926261351545292,0.9634928250534304,0.7021997353920413,0.9978918596705486,0.7021997353920413
spectral-flux,normal_no-sustain,22,19.082666666666668,10,10,6,165.6,0.9936636652449409,0.992750952205431,0.992750952205431,0.9902159604369023,0.992750952205431,0.711828409948572,0.9973320695768173,0.711828409948572
spectral-flux,normal_no-sustain,23,18.005333333333333,10,10,6,152.1,0.9917706940109972,0.9917706940109972,0.9917706940109972,0.9906794211429973,0.9917706940109972,0.6830695497102096,0.9962104324565314,0.6830695497102096
spectral-flux,normal_no-sustain,24,19.562666666666665,10,10,6,170.4,0.9812351259266869,0.9812351259266869,0.9812351259266869,0.9774220928822603,0.9812351259266869,0.7078432379680518,0.9983734826305066,0.7078432379680518
spectral-flux,normal_no-sustain,25,18.368,10,10,6,158.7,0.9900671287452929,0.9900671287452929,0.9900671287452929,0.987235142118863,0.9900671287452929,0.7276464916589351,0.9952336771634921,0.7276464916589351
spectral-flux,normal_no-sustain,26,18.602666666666668,12,12,9,137.16666666666666,0.941437061048082,0.941437061048082,0.9389339095984153,0.9169691820498959,0.9389339095984153,0.7329191428056906,0.9551953898793445,0.7329191428056906
spectral-flux,normal_no-sustain,27,20.405333333333335,10,10,5,170.6,0.9785200124616724,0.9785200124616724,0.9785200124616724,0.977624539777466,0.9785200124616724,0.7295817141357995,0.9922442487743293,0.7295817141357995
spectral-flux,normal_no-sustain,28,18.784,10,10,5,158.5,0.9901027177402096,0.9901027177402096,0.9901027177402096,0.9919384778573324,0.9901027177402096,0.7359476424851986,0.9906733718524859,0.7359476424851986
spectral-flux,normal_no-sustain,29,18.485333333333333,10,10,6,153.0,0.9920040522450162,0.9920040522450162,0.9920040522450162,0.9961777942173726,0.9920040522450162,0.6894424545026954,0.9943196208256448,0.6894424545026954
spectral-flux,normal_no-sustain,30,20.650666666666666,10,10,5,165.8,0.993901944566081,0.993901944566081,0.993901944566081,0.9965744237396562,0.993901944566081,0.7049579136865665,0.9949723479135242,0.7049579136865665
spectral-flux,normal_no-sustain,31,16.682666666666666,10,10,8,145.9,0.9879135243841128,0.9879135243841128,0.9879135243841128,0.9888117770767613,0.9879135243841128,0.7059829059829059,0.9879135243841127,0.7059829059829059
superflux,normal_sustain,0,12.661333333333333,10,10,10,118.3,0.994912559618442,0.994912559618442,0.9944621091679917,0.9979785414399007,0.9944621091679917,0.7177530471648119,0.9950450450450452,0.7177530471648119
superflux,normal_sustain,1,11.349333333333334,9,9,8,114.55555555555556,0.8701897499556658,0.8701897499556658,0.8701897499556658,0.9779763991120459,0.8701897499556658,0.62277590589348,0.9839510551516226,0.62277590589348
superflux,normal_sustain,2,11.829333333333333,10,10,10,110.1,0.9896711217048325,0.9896711217048325,0.9896711217048325,0.9884850210369807,0.9896711217048325,0.6737323004455038,0.989841377940467,0.6737323004455038
superflux,normal_sustain,3,12.181333333333333,10,10,10,113.3,0.9901700905677049,0.9901700905677049,0.9901700905677049,0.9938837920489297,0.9901700905677049,0.7025071791473381,0.9907775568809366,0.7025071791473381
superflux,normal_sustain,4,12.064,10,10,10,112.7,0.9743717756698287,0.9743717756698287,0.9743717756698287,0.9642813002101102,0.9743717756698287,0.6939035890608533,0.9922061352415821,0.6939035890608533
