from,to,n,correct,missed,recall
D maj,A♯ maj,1,1,0,1.0
D maj,C dim,1,1,0,1.0
D maj,C min,1,1,0,1.0
D maj,C♯ maj,1,1,0,1.0
D maj,D maj,1,1,0,1.0
D maj,D min,1,1,0,1.0
D maj,D♯ maj,1,1,0,1.0
D maj,D♯ min,1,1,0,1.0
D maj,G maj,1,1,0,1.0
D min,A maj,1,1,0,1.0
D min,B maj,1,1,0,1.0
D min,C dim,1,1,0,1.0
D min,D♯ dim,1,1,0,1.0
D min,F dim,1,1,0,1.0
D min,G dim,1,1,0,1.0
D min,G maj,1,1,0,1.0
D min,G min,1,1,0,1.0
D♯ dim,A maj,1,1,0,1.0
D♯ dim,B dim,1,1,0,1.0
D♯ dim,B min,1,1,0,1.0
D♯ dim,C♯ dim,1,1,0,1.0
D♯ dim,F dim,1,1,0,1.0
D♯ dim,F♯ dim,1,1,0,1.0
D♯ dim,G♯ min,1,1,0,1.0
D♯ maj,B dim,1,1,0,1.0
D♯ maj,C dim,1,1,0,1.0
D♯ maj,C maj,1,1,0,1.0
D♯ maj,C♯ maj,1,1,0,1.0
D♯ maj,C♯ min,1,1,0,1.0
D♯ maj,D dim,1,1,0,1.0
D♯ maj,D maj,1,1,0,1.0
D♯ maj,D♯ maj,1,1,0,1.0
D♯ maj,D♯ min,1,1,0,1.0
D♯ maj,F dim,1,1,0,1.0
D♯ maj,F♯ min,1,1,0,1.0
D♯ maj,G maj,1,1,0,1.0
D♯ min,A min,1,1,0,1.0
D♯ min,A♯ min,1,1,0,1.0
D♯ min,C dim,1,1,0,1.0
D♯ min,C♯ maj,1,1,0,1.0
D♯ min,D♯ maj,1,1,0,1.0
D♯ min,D♯ min,1,1,0,1.0
D♯ min,E min,1,1,0,1.0
D♯ min,F♯ min,1,1,0,1.0
D♯ min,G dim,1,1,0,1.0
D♯ min,G♯ dim,1,1,0,1.0
E dim,A♯ min,1,1,0,1.0
E dim,C dim,1,1,0,1.0
E dim,C♯ dim,1,1,0,1.0
E dim,D♯ maj,1,1,0,1.0
E dim,F♯ min,1,1,0,1.0
E dim,G♯ min,1,1,0,1.0
E maj,A dim,1,1,0,1.0
E maj,A♯ maj,1,1,0,1.0
E maj,B min,1,1,0,1.0
E maj,C♯ maj,1,1,0,1.0
E maj,D♯ maj,1,1,0,1.0
E maj,F maj,1,1,0,1.0
E maj,F min,1,1,0,1.0
E maj,F♯ min,1,1,0,1.0
E maj,G♯ maj,1,1,0,1.0
E min,C dim,1,1,0,1.0
E min,D dim,1,1,0,1.0
